ip_address,email_address,phone_number,first_name,last_name,postal_code,referral_code,referral_medium,EVENT_LABEL,EVENT_TIMESTAMP,EVENT_ID,ENTITY_TYPE,ENTITY_ID,card_bin,LABEL_TIMESTAMP
159.135.105.18,paigelawrence@vmenterprise.org.ph,001-026-157-8556x478,Brenda,Simpson,51417,VBpQFd,email,legit,2022-05-01T12:26:57Z,3ed351fe-f76f-48f2-abbf-e41dea3dc479,customer,a937-74770563,629741,2023-03-06T15:05:44Z
222.96.227.236,michaelyoung@wmsshipping.ph,001-275-009-3586x232,Larry,Swanson,47415,ORRjri,email,legit,2022-08-10T04:00:41Z,e9506cff-214b-43b1-9137-d861ee9f088a,customer,a690-02863744,064034,2023-03-06T15:05:44Z
6.77.183.79,zcook@gmail.com,+1-020-439-7773x3468,Emily,Cohen,54819,gBtSGB,shop,legit,2022-11-17T05:05:58Z,67211abf-5064-484e-a6f5-1c42f21c00ad,customer,d700-55094535,697076,2023-03-06T15:05:44Z
60.233.213.42,allisongomez@jensen.net,+1-665-995-1183x84765,Luis,Burch,61078,knPsMa,shop,legit,2022-07-16T06:14:47Z,51cc4e37-defc-4d92-9df9-1f0ac2375d01,customer,a494-49300269,019067,2023-03-06T15:05:44Z
222.163.179.78,kathleen99@watechnologies.net.ph,3957364304,Taylor,Nixon,96418,SrazfR,shop,legit,2023-01-17T04:16:45Z,0328bce1-96d0-454e-a713-2bf90a574c1e,customer,c492-95945370,997699,2023-03-06T15:05:44Z
80.101.209.249,richard32@yahoo.com,8369720601,Caroline,Peck,22950,GgTmpn,facebook,legit,2022-11-17T05:57:53Z,26c2dcda-4f36-4a7f-9278-851c5bfb828d,customer,c965-96718693,750540,2023-03-06T15:05:44Z
76.56.133.152,chelseafranco@harris.biz,287-323-8275,Christine,Mueller,54835,nAMGVW,shop,legit,2023-01-10T19:58:45Z,b14cc2f3-7dc6-4264-9d92-c9af442fbd73,customer,c768-58101219,733980,2023-03-06T15:05:44Z
199.177.172.161,pgonzalez@greatstate.net,+1-688-170-7833x215,Thomas,Benton,09563,QhAggP,facebook,legit,2022-05-23T18:58:36Z,ecea8f82-6bb6-4150-980d-ffffbf3df0b6,customer,d292-50824642,379018,2023-03-06T15:05:44Z
211.3.197.127,griffingeorge@ucemanufacturing.com,(580)587-3837,Cameron,Joseph,86330,CaqHSx,shop,legit,2022-12-10T22:24:57Z,18ef88d6-024b-44a5-ac65-1cb6248fb220,customer,a687-51244176,372021,2023-03-06T15:05:44Z
166.120.162.181,robert77@pacificempire.net,346.565.8012x914,Tiffany,Clark,01469,HwgvOY,shop,legit,2022-10-04T09:57:16Z,13352652-5bca-4ae7-bf4b-6d944fdcebcb,customer,a882-56067098,300192,2023-03-06T15:05:44Z
